id,relative_path,filename,extension,size_bytes,sha256,width_px,height_px,camera_make,camera_model,exif_creation,file_birthtime,file_mtime,gps_latitude,gps_longitude,duplicate_hint_from_name,duplicate_group_id,duplicate_of,session_group_id,session_index,seconds_since_prev,img_number,artifact_group_id,item_title,item_type,subject,location_guess,notes
img_0026,raw/imgs/IMG_3326 2.jpeg,IMG_3326 2.jpeg,.jpeg,2852529,c7569a4b6d342141a808d456e9fef08b953f10eefe77e2b81ef3519c2bf0c187,4032,3024,Apple,iPhone XR,2023:06:21 14:01:08,2023-06-21 14:01:08,2025-12-18 22:51:09,,,True,D0015,,S0009,1,426.0,3326,S0009,,,,,
img_0027,raw/imgs/IMG_3326.jpeg,IMG_3326.jpeg,.jpeg,2852529,c7569a4b6d342141a808d456e9fef08b953f10eefe77e2b81ef3519c2bf0c187,4032,3024,Apple,iPhone XR,2023:06:21 14:01:08,2023-06-21 14:01:08,2025-12-18 22:50:15,,,False,D0015,raw/imgs/IMG_3326 2.jpeg,S0009,2,0.0,3326,S0009,,,,,
img_0028,raw/imgs/IMG_3327 2.jpeg,IMG_3327 2.jpeg,.jpeg,2910714,a1b10a607266d8208d320acdbf75354b66866b0757cba28999de5d26d564a42a,4032,3024,Apple,iPhone XR,2023:06:21 14:04:38,2023-06-21 14:04:38,2025-12-18 22:51:10,,,True,D0016,,S0010,1,210.0,3327,S0010,,,,,
img_0029,raw/imgs/IMG_3327.jpeg,IMG_3327.jpeg,.jpeg,2910714,a1b10a607266d8208d320acdbf75354b66866b0757cba28999de5d26d564a42a,4032,3024,Apple,iPhone XR,2023:06:21 14:04:38,2023-06-21 14:04:38,2025-12-18 22:50:15,,,False,D0016,raw/imgs/IMG_3327 2.jpeg,S0010,2,0.0,3327,S0010,,,,,
img_0030,raw/imgs/IMG_3328 2.jpeg,IMG_3328 2.jpeg,.jpeg,2514578,d143568cdaf9909c24264497ea7e483c6e60547a2494ff5f3a41d8d1272b74fa,4032,3024,Apple,iPhone XR,2023:06:21 14:08:33,2023-06-21 14:08:33,2025-12-18 22:51:10,,,True,D0017,,S0011,1,235.0,3328,S0011,,,,,
img_0031,raw/imgs/IMG_3328.jpeg,IMG_3328.jpeg,.jpeg,2514578,d143568cdaf9909c24264497ea7e483c6e60547a2494ff5f3a41d8d1272b74fa,4032,3024,Apple,iPhone XR,2023:06:21 14:08:33,2023-06-21 14:08:33,2025-12-18 22:50:16,,,False,D0017,raw/imgs/IMG_3328 2.jpeg,S0011,2,0.0,3328,S0011,,,,,
img_0032,raw/imgs/IMG_3329 2.jpeg,IMG_3329 2.jpeg,.jpeg,2596761,1fbe0099f217a34003fd5724c29c0ec373a18170381fa9bcc5232f336899d148,4032,3024,Apple,iPhone XR,2023:06:21 14:09:19,2023-06-21 14:09:19,2025-12-18 22:51:10,,,True,D0018,,S0011,3,46.0,3329,S0011,,,,,
img_0033,raw/imgs/IMG_3329.jpeg,IMG_3329.jpeg,.jpeg,2596761,1fbe0099f217a34003fd5724c29c0ec373a18170381fa9bcc5232f336899d148,4032,3024,Apple,iPhone XR,2023:06:21 14:09:19,2023-06-21 14:09:19,2025-12-18 22:50:17,,,False,D0018,raw/imgs/IMG_3329 2.jpeg,S0011,4,0.0,3329,S0011,,,,,
img_0034,raw/imgs/IMG_3330 2.jpeg,IMG_3330 2.jpeg,.jpeg,2496876,ae352d730fb8f3921a739b06b27ad510e818fea56ad94e9542e32a1274eb85d0,4032,3024,Apple,iPhone XR,2023:06:21 14:10:07,2023-06-21 14:10:07,2025-12-18 22:51:10,,,True,D0019,,S0011,5,48.0,3330,S0011,,,,,
img_0035,raw/imgs/IMG_3330.jpeg,IMG_3330.jpeg,.jpeg,2496876,ae352d730fb8f3921a739b06b27ad510e818fea56ad94e9542e32a1274eb85d0,4032,3024,Apple,iPhone XR,2023:06:21 14:10:07,2023-06-21 14:10:07,2025-12-18 22:50:17,,,False,D0019,raw/imgs/IMG_3330 2.jpeg,S0011,6,0.0,3330,S0011,,,,,
img_0036,raw/imgs/IMG_3331.jpeg,IMG_3331.jpeg,.jpeg,1855740,20ceafd725e1317114c375757b4ad997da36bba1a03bfcd0337678b1b7a2bc1b,4032,3024,Apple,iPhone XR,2023:06:21 14:12:43,2023-06-21 14:12:43,2025-12-18 22:51:10,,,False,D0020,,S0012,1,156.0,3331,S0012,,,,,
img_0037,raw/imgs/IMG_3332.jpeg,IMG_3332.jpeg,.jpeg,2257088,58587a7e7135c90398b9b920049e7bf2a5e264bfe841fa602240132e393917ae,4032,3024,Apple,iPhone XR,2023:06:21 14:14:46,2023-06-21 14:14:46,2025-12-18 22:51:10,,,False,D0021,,S0013,1,123.0,3332,S0013,,,,,
img_0038,raw/imgs/IMG_3333.jpeg,IMG_3333.jpeg,.jpeg,1882309,d9c1adb20b1bb0179a1ccf04777c5e4a34da93d2a2fabfbd4be21cc46d96a1b7,4032,3024,Apple,iPhone XR,2023:06:21 14:16:25,2023-06-21 14:16:25,2025-12-18 22:51:11,,,False,D0022,,S0014,1,99.0,3333,S0014,,,,,
img_0039,raw/imgs/IMG_3334.jpeg,IMG_3334.jpeg,.jpeg,1616047,c992ae06fb6b887e5839f6fbaa35be6fc240311e2f87bddd6e5e2831deadfeae,4032,3024,Apple,iPhone XR,2023:06:21 14:16:39,2023-06-21 14:16:39,2025-12-18 22:51:12,,,False,D0023,,S0014,2,14.0,3334,S0014,,,,,
img_0040,raw/imgs/IMG_3335.jpeg,IMG_3335.jpeg,.jpeg,1933791,b565094c433236b58c1c622cbd20a5964b703315b9a63fddf46f535f597023b5,4032,3024,Apple,iPhone XR,2023:06:21 14:17:12,2023-06-21 14:17:12,2025-12-18 22:51:13,,,False,D0024,,S0014,3,33.0,3335,S0014,,,,,
img_0041,raw/imgs/IMG_3336.jpeg,IMG_3336.jpeg,.jpeg,2007147,9b78922b944fc501542bcb20543c7a17678123b3997416b361448d2197a8c67c,4032,3024,Apple,iPhone XR,2023:06:21 14:17:29,2023-06-21 14:17:29,2025-12-18 22:51:14,,,False,D0025,,S0014,4,17.0,3336,S0014,,,,,
img_0042,raw/imgs/IMG_3337.jpeg,IMG_3337.jpeg,.jpeg,2540072,2c923723c46635123d225605e3447654d813c3d14be57eb9b34dccb3b6419c2d,4032,3024,Apple,iPhone XR,2023:06:21 14:18:56,2023-06-21 14:18:56,2025-12-18 22:51:14,,,False,D0026,,S0014,5,87.0,3337,S0014,,,,,
img_0043,raw/imgs/IMG_3338.jpeg,IMG_3338.jpeg,.jpeg,2924568,67f86c279d528eeeee342ddbd2fa37bd9f7a08f557f83ac8821776ddf3460dd1,4032,3024,Apple,iPhone XR,2023:06:21 14:31:30,2023-06-21 14:31:30,2025-12-18 22:51:14,,,False,D0027,,S0015,1,754.0,3338,S0015,,,,,
img_0044,raw/imgs/IMG_3339.jpeg,IMG_3339.jpeg,.jpeg,2692204,15dc0ba5d456fadc93d4e8f30f5f2e650f799a9215a658ca694e3a62198d9c16,4032,3024,Apple,iPhone XR,2023:06:21 14:38:22,2023-06-21 14:38:22,2025-12-18 22:51:15,,,False,D0028,,S0016,1,412.0,3339,S0016,,,,,
img_0045,raw/imgs/IMG_3340.jpeg,IMG_3340.jpeg,.jpeg,2466840,edea5442f7329a284ed322b07958bf055042fa759811110ab22107f9f2ea2b5e,4032,3024,Apple,iPhone XR,2023:06:21 14:40:52,2023-06-21 14:40:52,2025-12-18 22:51:16,,,False,D0029,,S0017,1,150.0,3340,S0017,,,,,
img_0046,raw/imgs/IMG_3341.jpeg,IMG_3341.jpeg,.jpeg,2633718,144e243d6d3c29837564bee1f8bcc87c35e1ac50ae8ed5cf56b84794511f8e48,4032,3024,Apple,iPhone XR,2023:06:21 14:41:58,2023-06-21 14:41:58,2025-12-18 22:51:17,,,False,D0030,,S0017,2,66.0,3341,S0017,,,,,
img_0047,raw/imgs/IMG_3342.jpeg,IMG_3342.jpeg,.jpeg,2555984,7c5f4d9e157f2c644b405fc084a98797eec7ea2136c9ae68e1f607b3ebc11e62,4032,3024,Apple,iPhone XR,2023:06:21 14:42:14,2023-06-21 14:42:14,2025-12-18 22:51:17,,,False,D0031,,S0017,3,16.0,3342,S0017,,,,,
img_0048,raw/imgs/IMG_3343.jpeg,IMG_3343.jpeg,.jpeg,2298313,fc13c0c8448dda097b4d24de270d4704fcc1a1ea725db579930ab9f29b329938,4032,3024,Apple,iPhone XR,2023:06:21 14:42:30,2023-06-21 14:42:30,2025-12-18 22:51:18,,,False,D0032,,S0017,4,16.0,3343,S0017,,,,,
img_0049,raw/imgs/IMG_3344.jpeg,IMG_3344.jpeg,.jpeg,3865427,c71373194e1802a809b862721669815c2923aa5f1fc3a65420215d7435596e97,4032,3024,Apple,iPhone XR,2023:06:21 14:56:39,2023-06-21 14:56:39,2025-12-18 22:51:19,,,False,D0033,,S0018,1,849.0,3344,S0018,,,,,
img_0050,raw/imgs/IMG_3345.jpeg,IMG_3345.jpeg,.jpeg,3775226,e80a392d08697eb5c73168d88c370ec071cc586099d77e22c00ed692f2b48af4,4032,3024,Apple,iPhone XR,2023:06:21 14:56:56,2023-06-21 14:56:56,2025-12-18 22:51:20,,,False,D0034,,S0018,2,17.0,3345,S0018,,,,,
img_0051,raw/imgs/IMG_3346.jpeg,IMG_3346.jpeg,.jpeg,2823665,3d4d78c893f8bdfdceb600d133395ea62db0d29ecda590f77634090d36d0cb15,4032,3024,Apple,iPhone XR,2023:06:21 15:04:26,2023-06-21 15:04:26,2025-12-18 22:51:20,,,False,D0035,,S0019,1,450.0,3346,S0019,,,,,
